"Name","FMISID","LPNN","WMO","Lat","Lon","Elevation","Groups","Started"
"Ilomantsi Mekrijärvi",101651,3919,2939,62.77,30.98,155,"Weather",1999
"Ilomantsi Naarva",101641,3909,NA,63.03,31.06,245,"Precipitation",1989
"Ilomantsi Pötsönvaara",101649,3917,2766,63.14,31.04,233,"Air quality, Weather",1997
"Imatra Mansikkala",103118,NA,NA,61.19,28.77,75,"Air quality (urban)",1998
"Imatra Pelkolan tulliasema Raja",103119,NA,NA,61.13,28.84,60,"Air quality (urban)",1991
"Imatra Rautionkylä",103121,NA,NA,61.24,28.87,101,"Air quality (urban)",1987
"Imatra Teppanala",103122,NA,NA,61.15,28.81,62,"Air quality (urban)",1994
"Inari Angeli Lintupuoliselkä",102026,9405,2857,68.9,25.74,285,"Weather",2008
"Inari Ivalo airport",102033,9601,2807,68.61,27.42,140,"Weather",1957
"Inari Kaamanen",102047,9616,2702,69.14,27.27,156,"Weather",2008
"Inari Kirakkajärvi",102055,9708,2858,69.58,28.89,106,"Weather",2009
"Inari Nellim",102052,9705,2835,68.85,28.3,121,"Weather",1990
"Inari parish village",102046,9615,NA,68.91,27.02,127,"Precipitation",2003
"Inari Raja-Jooseppi",102009,8704,2818,68.48,28.3,253,"Air quality, Weather",1992
"Inari Raja-Jooseppi Kontiojärvi",102008,8702,NA,68.47,28.32,185,"Precipitation",1960
"Inari Saariselkä Kaunispää",102006,8607,2817,68.43,27.44,437,"Weather",1995
"Inari Saariselkä tourist centre",102005,8606,2722,68.42,27.41,302,"Weather",1976
"Inari Seitalaassa",129963,9617,2888,69.05,27.76,120,"Weather",2011
"Inari Väylä",102042,9611,2827,69.07,27.49,123,"Weather",1990
"Inkoo Bågaskär",100969,302,2984,59.93,24.01,12,"Weather",1955
"Inkoo Heimgård",103150,NA,NA,60.04,23.98,5,"Air quality (urban)",1980
"Isojoki Kärjenkoski",101258,2004,NA,62.13,21.67,54,"Precipitation",1942
"Jalasjärvi Hirvijärv",101285,2117,NA,62.47,22.91,100,"Precipitation",1920
"Jämsä Halli airport",101315,2301,2945,61.86,24.8,143,"Weather",1964
"Jämsä Halli Lentoasemantie",101338,2324,2946,61.86,24.81,144,"Weather",2008
"Jämsä Lääkäritalo",104113,NA,NA,61.87,25.2,82,"Air quality (urban)",1978
"Jämsä Seppolantie",103129,NA,NA,61.87,25.2,90,"Air quality (urban)",2013
"Järvenpää Helsingintie",103154,NA,NA,60.47,25.09,20,"Air quality (urban)",2012
"Järvenpää Sorto",103786,NA,NA,60.48,25.08,51,"Weather",2018
"Joensuu Huhtilampi",101460,2903,NA,62.43,30.41,140,"Precipitation",1956
"Joensuu Koskikatu 1",103148,NA,NA,62.6,29.76,80,"Air quality (urban)",2003
"Joensuu Linnunlahti",101632,3825,2928,62.6,29.72,81,"Weather",2008
"Joensuu Pyhäselkä",101610,3803,NA,62.52,29.81,79,"Precipitation",1908
"Jokioinen Ilmala",101104,1201,2963,60.81,23.5,104,"Sounding, Weather",1957
"Jomala Jomalaby",100917,11,2741,60.18,19.99,11,"Weather",1971
"Jomala Mariehamn airport",100907,1,2970,60.12,19.9,2,"Weather",1950
"Joutsa Pärnämäki",101390,2525,NA,61.77,26.39,116,"Precipitation",1969
"Joutsa Savenaho",101367,2501,2771,61.88,26.09,146,"Weather",1932
"Juuka Niemelä",101609,3802,2791,63.23,29.23,115,"Weather",1914
"Juupajoki Hyytiälä",101317,2303,2770,61.85,24.29,153,"Air quality, Precipitation, Weather",1956
"Juva Partala",101418,2622,2736,61.89,27.89,110,"Weather",1992
"Jyväskylä airport",101339,2401,2935,62.4,25.67,139,"Precipitation, Weather",1945
"Jyväskylä airport AWOS",137208,NA,NA,62.4,25.68,138,"Weather",1999
"Jyväskylä Lyseo 2",103127,NA,NA,62.24,25.74,101,"Air quality (urban)",2000
"Jyväskylä Muuratjärvi",101352,2414,NA,62.16,25.42,123,"Precipitation",1958
"Jyväskylä Palokka 2",103128,NA,NA,62.29,25.71,143,"Air quality (urban)",2000
"Jyväskylä Pupuhuhta",104132,NA,NA,62.27,25.79,158,"Air quality (urban)",1988
"Kaarina Kaarina",100823,NA,NA,60.41,22.38,13,"Air quality (urban)",2004
"Kaarina Yltöinen",100934,103,2828,60.39,22.55,6,"Weather",1927
"Kajaani airport",101725,4601,2897,64.28,27.67,132,"Weather",1956
"Kajaani Paltaniemi",101742,4618,NA,64.29,27.64,128,"Precipitation",2000
"Kajaani Petäisenniska",126736,4620,2883,64.22,27.75,160,"Weather",2010
"Kajaani Saaresmäki",101721,4513,NA,64.05,26.93,216,"Precipitation",1970
"Kalajoki Maakalla",103808,NA,NA,64.3,23.54,0,"Buoy",2015
"Kalajoki Metsäkylä",101685,4310,NA,64.27,24.21,40,"Precipitation",1961
"Kalajoki Pitkäsenkylä",101683,4308,NA,64.23,24.02,20,"Precipitation",1958
"Kalajoki Ulkokalla",101673,4212,2907,64.33,23.45,3,"Weather",1977
"Kangasniemi parish village",101385,2520,NA,61.98,26.64,105,"Precipitation",1909
"Kankaanpää Niinisalo airfield",101291,2123,2753,61.84,22.46,123,"Weather",1998
"Karvia Alkkia",101272,2103,2708,62.18,22.8,161,"Weather",1966
"Kaskinen",104332,NA,NA,62.38,21.22,7,"Air quality (urban)",1993
"Kaskinen Ådskär",134251,NA,NA,62.34,21.21,0,"Mareograph",1926
"Kaskinen Sälgrund",101256,2002,2931,62.33,21.19,5,"Weather",1959
"Kauhajoki Kuja-Kokko",101289,2121,2769,62.41,22.18,93,"Weather",1986
"Kauhava airfield",101503,3201,2913,63.12,23.04,42,"Weather",1931
"Kauniainen Kauniaistentie",105405,NA,NA,60.21,24.73,22,"Air quality (urban)",2018
"Kaustinen Tastula",101665,4204,NA,63.59,23.72,74,"Precipitation",1925
"Kemi Ajos",100539,NA,NA,65.67,24.52,0,"Mareograph",1922
"Kemi Ajos",101846,6307,2862,65.67,24.52,2,"Weather",1973
"Kemi I lighthouse",101783,5309,2863,65.39,24.1,25,"Weather",1978
"Kemijärvi airfield",101950,7607,2814,66.72,27.16,208,"Weather",2006
"Kemi Kemi-Tornio airport",101840,6301,2864,65.78,24.58,10,"Weather",1945
"Kemiönsaari Kalvören",654923,NA,NA,59.9,22.63,0,"Buoy",2013
"Kemiönsaari Kemiö",100951,120,2906,60.17,22.76,12,"Weather",2009
"Kemiönsaari Vänö",100945,114,2743,59.87,22.19,10,"Weather",1990
"Kerava",104104,NA,NA,60.4,25.1,50,"Air quality (urban)",2005
"Kirkkonummi Mäkiluoto",100997,331,2794,59.92,24.35,2,"Weather",1989
"Kirkkonummi Veikkola",105418,NA,NA,60.27,24.43,54,"Air quality (urban)",2017
"Kitee Kesälahti",100690,NA,2995,61.91,29.8,174,"Radar",2014
"Kittilä airport",101986,8311,2720,67.69,24.85,193,"Weather",1999
"Kittilä Alakylä",101918,7311,NA,67.26,24.97,190,"Precipitation",2003
"Kittilä Kenttärova",101987,8312,2824,67.99,24.24,347,"Weather",2002
"Kittilä Lompolonvuoma",778135,8303,2764,68,24.21,270,"Weather",2013
"Kittilä Matorova",101985,8310,2882,68,24.24,340,"Air quality, Weather",1995
"Kittilä Pokka",101994,8404,2717,68.17,25.78,276,"Weather",1971
"Kittilä Pulju",101980,8305,NA,68.23,24.83,277,"Precipitation",1974
"Kittilä village",101990,8315,2860,67.65,24.9,181,"Weather",2009
"Kiuruvesi Korpijoki",101712,4504,NA,63.73,26.37,110,"Precipitation",1958
"Kökar Bogskär",100921,16,2979,59.5,20.35,4,"Weather",1982
"Kokemäki Rausenkulma",101068,1104,2762,61.26,22.23,38,"Precipitation",1931
"Kokemäki Tulkkila",101103,1140,2937,61.25,22.35,38,"Weather",2010
"Kokkola keskusta Pitkänsillankatu",103107,NA,NA,63.84,23.13,10,"Air quality (urban)",1998
"Kokkola Tankar",101661,4109,2721,63.95,22.85,5,"Weather",1996
"Kokkola Ykspihlaja",103108,NA,NA,63.84,23.04,7,"Air quality (urban)",1990
"Kolari Kattilamaa",101913,7306,NA,67.38,24.01,173,"Precipitation",1968
"Korsnäs Bredskäret",101479,3018,2780,62.93,21.19,1,"Weather",1991
"Kotka Haapasaari",101042,601,2967,60.29,27.19,4,"Weather",1986
"Kotka Kirjastotalo",103105,NA,NA,60.47,26.94,25,"Air quality (urban)",1983
"Kotka Kuusenkari",100761,NA,NA,60.27,27.11,0,"Buoy",2014
"Kotka Rankki",101030,501,2976,60.38,26.96,11,"Weather",1933
"Kotka Rauhala",103106,NA,NA,60.51,26.95,6,"Air quality (urban)",1999
"Kouvola Anjala",101194,1504,2830,60.7,26.81,33,"Weather",1941
"Kouvola Inkeroinen tehtaanmäen koulu",105409,NA,NA,60.71,26.83,35,"Air quality (urban)",2018
"Kouvola Kaipiainen",101234,1615,2954,60.9,27.11,139,"Radar",1994
"Kouvola Käsityöläisenkatu",103111,NA,NA,60.87,26.71,75,"Air quality (urban)",2006
"Kouvola Kuusankoski Mäkikylä",104042,NA,NA,60.89,26.59,60,"Air quality (urban)",2007
"Kouvola Kuusankoski Urheilukentäntie",103112,NA,NA,60.91,26.63,55,"Air quality (urban)",1991
"Kouvola Utti airport",101191,1501,2966,60.9,26.95,102,"Weather",1944
"Kouvola Utti Lentoportintie",101219,1529,2956,60.89,26.93,99,"Weather",2008
"Kouvola Voikoski",101211,1521,NA,61.25,26.78,90,"Precipitation",1968
"Köyliö Yttilä",101077,1113,NA,61.11,22.37,46,"Precipitation",1933
"Kristiinankaupunki lighthouse",101268,2014,2752,62.2,21.17,0,"Weather",1997
"Kruunupyy Kokkola-Pietarsaari airport",101662,4201,2903,63.72,23.14,25,"Weather",1960
"Kuhmo Apaja",101771,4811,NA,64.07,29.22,190,"Precipitation",1997
"Kuhmo Kalliojoki",101773,4901,2799,64.3,30.17,196,"Precipitation, Weather",1997
"Kumlinge",100928,23,2790,60.26,20.75,23,"Weather",2000
"Kuopio Haminalahti",100882,NA,NA,62.85,27.53,108,"Air quality (urban)",2012
"Kuopio Karttula",101579,3610,NA,62.85,27.27,131,"Precipitation",1982
"Kuopio Kasarmipuisto",102102,NA,NA,62.89,27.67,112,"Air quality (urban)",1994
"Kuopio Maaherrankatu",103093,NA,NA,62.89,27.69,87,"Air quality (urban)",2004
"Kuopio Maaninka",101572,3603,2788,63.14,27.31,90,"Weather",1930
"Kuopio Puijo",101587,3618,NA,62.91,27.66,230,"Air quality",2010
"Kuopio Ritoniemi",101580,3611,2732,62.8,27.9,86,"Weather",1980
"Kuopio Rytky",101582,3613,2918,62.86,27.38,268,"Radar",1995
"Kuopio Savilahti",101586,3617,2955,62.89,27.63,87,"Weather",2005
"Kuopio Sorsasalo",103094,NA,NA,62.96,27.7,90,"Air quality (urban)",1991
"Kuopio Tasavallankatu",103095,NA,NA,62.88,27.66,107,"Air quality (urban)",2009
"Kuopio Vehmasmäki",101581,3612,2837,62.74,27.54,190,"Mast",1990
"Kurikka Pyörni",101478,3017,NA,62.73,21.96,73,"Precipitation",1981
"Kustavi Isokari",101059,1016,2964,60.72,21.03,5,"Weather",1974
"Kuusamo airport",101886,6801,2869,65.99,29.23,264,"Weather",1909
"Kuusamo Juuma",101899,6814,2749,66.32,29.4,298,"Air quality, Weather",1989
"Kuusamo Kiutaköngäs",101887,6802,2811,66.37,29.31,165,"Weather",1966
"Kuusamo Ruka Talvijärvi",806428,6817,2760,66.17,29.14,305,"Weather",2013
"Kuusamo Rukatunturi",101897,6812,2868,66.17,29.15,500,"Weather",1990
"Lahti Kisapuisto",103130,NA,NA,60.99,25.65,89,"Air quality (urban)",1981
"Lahti Laune",101152,1401,2965,60.96,25.63,78,"Weather",1961
"Lahti Laune Pohjoinen Liipolankatu",103131,NA,NA,60.97,25.65,85,"Air quality (urban)",2000
"Lahti Saimaankatu",103132,NA,NA,60.99,25.67,20,"Air quality (urban)",2013
"Lahti Satulakatu",103133,NA,NA,60.98,25.59,20,"Air quality (urban)",2011
"Lahti Vesku 11",103134,NA,NA,60.98,25.66,99,"Air quality (urban)",1990
"Laitila Haukka",101050,1007,NA,60.83,21.76,21,"Precipitation",1942
"Lapinlahti Lamminkäyrä",101577,3608,NA,63.38,27.37,87,"Precipitation",1968
"Lappeenranta airport",101237,1701,2958,61.04,28.15,105,"Weather",1950
"Lappeenranta Hiekkapakka",101252,1716,2919,61.2,28.47,77,"Weather",2009
"Lappeenranta Ihalainen",103114,NA,NA,61.04,28.18,84,"Air quality (urban)",1991
"Lappeenranta Joutsenon keskusta",103115,NA,NA,61.12,28.5,103,"Air quality (urban)",1997
"Lappeenranta keskusta 4",103116,NA,NA,61.06,28.18,106,"Air quality (urban)",2008
"Lappeenranta Konnunsuo",101246,1710,2733,61.04,28.56,46,"Weather",1991
"Lappeenranta Lauritsala",103117,NA,NA,61.07,28.26,105,"Air quality (urban)",1994
"Lappeenranta Lepola",101247,1711,2959,61.06,28.21,103,"Weather",1995
"Lappeenranta Pulp",103120,NA,NA,61.13,28.45,105,"Air quality (urban)",1996
"Lappeenranta Tirilä Pekkasenkatu",103123,NA,NA,61.06,28.25,91,"Air quality (urban)",1989
"Lemland Nyhamn",100909,3,2980,59.96,19.95,8,"Weather",1958
"Lieksa Hietajärvi",101650,3918,NA,63.17,30.71,173,"Air quality",1987
"Lieksa Koli",101616,3809,NA,63.11,29.76,165,"Precipitation",1969
"Lieksa Lampela",101636,3904,2796,63.32,30.05,98,"Weather",1946
"Liperi Joensuu airport",101608,3801,2929,62.66,29.61,118,"Weather",1955
"Liperi Tuiskavanluoto",101628,3821,2793,62.55,29.67,78,"Weather",1997
"Lohja Leppäkorpi",100963,213,NA,60.49,23.77,96,"Precipitation",1968
"Lohja Nahkurintori 2",103144,NA,NA,60.25,24.06,20,"Air quality (urban)",2009
"Lohja Porla",100974,307,2706,60.24,24.05,36,"Weather",1949
"Loviisa Orrengrund",101039,510,2992,60.27,26.45,1,"Weather",1974
"Luhanka Judinsalo",101362,2426,2765,61.7,25.51,80,"Weather",1990
"Luhanka Tammijärvi",101348,2410,NA,61.84,25.86,80,"Precipitation",1967
"Lumparland Långnäs harbour",151048,12,2724,60.12,20.3,10,"Weather",2012
"Luoto Vikarholmen",103153,NA,NA,63.7,22.76,2,"Air quality (urban)",2001
"Maalahti Strömmingsbådan",101481,3020,2781,62.98,20.74,2,"Weather",1997
"Maarianhamina Lotsberget",100929,24,2969,60.09,19.94,57,"Weather",2007
"Mäntsälä Hirvihaara",103794,1440,2774,60.63,25.19,83,"Weather",2015
"Mäntsälä Hirvihaara Kuntomajantie",101166,1415,NA,60.62,25.22,78,"Precipitation",1908
"Mariehamn West Harbour",151029,26,2997,60.09,19.93,2,"Weather",2012
"Merikarvia Tuorila",101257,2003,NA,61.85,21.65,39,"Precipitation",1958
"Mikkeli airport",101398,2602,2947,61.69,27.2,99,"Weather",1959
"Mikkeli airport AWOS",855522,NA,NA,61.69,27.21,101,"Weather",1959
"Mikkeli Pitkähiekka",101410,2614,NA,62.01,27.19,109,"Precipitation",1956
"Mikkeli Porrassalmenkatu",103149,NA,NA,61.69,27.27,89,"Air quality (urban)",2003
"Multia Karhila",101536,3317,2927,62.51,24.81,227,"Weather",2008
"Multia Pirttiperä",101363,2427,NA,62.41,25.05,180,"Precipitation",1991
"Muonio kirkonkylä",106435,8211,2823,67.96,23.68,236,"Weather",2013
"Muonio Laukukero",101982,8307,2820,68.06,24.03,760,"Weather",1996
"Muonio Sammaltunturi",101983,8308,2821,67.97,24.12,555,"Air quality, Weather",1991
"Mustasaari Riimala",101474,3013,NA,62.97,21.78,15,"Precipitation",1967
"Mustasaari Valassaaret",101464,3003,2910,63.44,21.07,4,"Weather",1895
"Naantali keskusta Asematori",100824,NA,NA,60.47,22.03,14,"Air quality (urban)",1999
"Närpiö Alamarkku",101468,3007,NA,62.63,21.49,35,"Precipitation",1961
"Nastola Rakokiventie siirrettävä",104091,NA,NA,60.94,25.96,20,"Air quality (urban)",2016
"Nokia Tottijärvi",101116,1213,NA,61.4,23.34,99,"Precipitation",1959
"Northern Baltic Proper wavebuoy",134220,NA,NA,59.25,21,0,"Buoy",1996
"Nurmes Mujejärvi",101763,4803,NA,63.82,29.45,252,"Precipitation",1966
