"Name","FMISID","LPNN","WMO","Lat","Lon","Elevation","Groups","Started"
"Raisio Ihala",106630,NA,NA,60.47,22.19,10,"Air quality (urban)",2017
"Raisio Kaanaan koulu",100804,NA,NA,60.47,22.11,20,"Air quality (urban)",2008
"Raisio Kaanaa Sakunpiha",106419,NA,NA,60.47,22.1,20,"Air quality (urban)",2016
"Raisio keskusta",100844,NA,NA,60.48,22.17,9,"Air quality (urban)",1989
"Rantasalmi Rukkasluoto",101436,2716,2772,62.06,28.57,79,"Weather",1997
"Ranua airfield",101873,6514,2881,65.98,26.37,161,"Weather",2008
"Rauma Kylmäpihlaja",101061,1018,2761,61.14,21.3,4,"Weather",1990
"Rauma Tarvonsaari Hallikatu",103113,NA,NA,61.13,21.5,3,"Air quality (urban)",2002
"Rauma Ulko-Petäjäs",134224,NA,NA,61.13,21.43,0,"Mareograph",1933
"Rautavaara Ala-Luosta",101599,3712,NA,63.27,28.47,112,"Precipitation",1968
"Rautavaara Ylä-Luosta",101603,3716,2789,63.38,28.66,166,"Precipitation, Weather",1976
"Ristijärvi Mustavaara",101753,4711,NA,64.47,28.62,268,"Precipitation",1978
"Rovaniemi airport",101920,7401,2845,66.56,25.84,189,"Weather",1951
"Rovaniemi airport AWOS",137190,NA,NA,66.56,25.82,193,"Weather",1999
"Rovaniemi Apukka",101933,7502,2813,66.58,26.01,106,"Weather",1939
"Rovaniemi Etelärinne",103815,NA,NA,66.51,25.69,123,"Air quality (urban)",2015
"Rovaniemi railway station",101928,7409,2847,66.5,25.71,85,"Weather",1997
"Rovaniemi Rovakatu",103816,NA,NA,66.5,25.73,87,"Air quality (urban)",2015
"Rovaniemi Vennivaara",101927,7408,2846,66.55,25.57,191,"Mast",1991
"Ruokolahti Kotaniemi",101248,1712,NA,61.37,28.68,97,"Precipitation",1998
"Salla Kelloselkä",101956,7706,NA,66.94,28.98,200,"Precipitation",1949
"Salla Naruska",101966,7804,2745,67.16,29.18,213,"Weather",1999
"Salla parish",101959,7709,2849,66.83,28.67,214,"Precipitation, Weather",1999
"Salla Värriötunturi",102012,8803,2819,67.75,29.61,360,"Precipitation, Weather",1971
"Salo Kärkkä",100955,205,2756,60.37,23.11,2,"Weather",1936
"Salo Kiikala airfield",100967,217,2777,60.46,23.65,117,"Weather",2002
"Savonlinna airport",101430,2710,2948,61.95,28.93,93,"Weather",1974
"Savonlinna Haapasalmi",106418,NA,NA,61.87,28.89,79,"Air quality (urban)",2016
"Savonlinna Laukansaari",101423,2702,NA,61.8,28.85,94,"Precipitation",1942
"Savonlinna Olavinkatu",104045,NA,NA,61.87,28.88,79,"Air quality (urban)",2004
"Savonlinna Punkaharju Laukansaari",101441,2801,2778,61.8,29.32,78,"Weather",1905
"Savonlinna Savonranta",101448,2808,NA,62.17,29.28,90,"Precipitation",1908
"Savukoski village",101952,7702,2815,67.29,28.18,180,"Precipitation, Weather",1963
"Sea of Bothnia wavebuoy",134246,NA,NA,61.8,20.23,0,"Buoy",2011
"Seinäjoki Pelmaa",101486,3101,2833,62.94,22.49,26,"Weather",1927
"Seinäjoki Vapaudentie 6a",103110,NA,NA,62.78,22.84,20,"Air quality (urban)",2011
"Siikajoki Ruukki",101787,5402,2803,64.68,25.09,48,"Weather",1904
"Siikalatva Kestilä",101717,4509,NA,64.36,26.3,91,"Precipitation",1908
"Siilinjärvi Kuopio airport",101570,3601,2917,63.01,27.8,96,"Weather",1945
"Siilinjärvi Murtomäki",106629,NA,NA,63.14,27.7,123,"Air quality (urban)",2017
"Sipoo Eestiluoto",101029,423,2930,60.12,25.22,13,"Weather",2008
"Siuntio Sjundby",105302,321,NA,60.14,24.26,26,"Precipitation",1995
"Sodankylä Lokka",102000,8601,2719,67.82,27.75,240,"Weather",1958
"Sodankylä Luosto",101939,7508,2840,67.14,26.9,532,"Radar",2000
"Sodankylä Tähtelä",101932,7501,2836,67.37,26.63,179,"Air quality, Sounding, Weather",1891
"Sodankylä Vuotso",102001,8602,2816,68.08,27.19,248,"Weather",1958
"Somero Salkola",101128,1227,2949,60.65,23.81,142,"Weather",2010
"Sotkamo Kuolaniemi",101756,4714,2739,64.11,28.34,161,"Weather",1989
"Sulkava Halttula",101425,2704,NA,61.92,28.32,110,"Precipitation",1933
"Suomussalmi Näljänkä",101822,5707,NA,65.24,28.45,251,"Precipitation",1970
"Suomussalmi Pesiö",101826,5711,2889,64.93,28.75,222,"Precipitation, Weather",1981
"Suonenjoki Iisvesi",101578,3609,NA,62.66,27.05,103,"Precipitation",1978
"Suonenjoki Sairaalakatu",106425,NA,NA,62.63,27.12,101,"Air quality (urban)",2016
"Sysmä Joutsjärvi",101342,2404,NA,61.51,25.81,91,"Precipitation",1947
"Taivalkoski Inkee",101882,6704,NA,65.73,28.56,247,"Precipitation",1968
"Taivalkoski parish",101885,6707,2804,65.57,28.22,197,"Weather",2002
"Tampere Epila 2",103096,NA,NA,61.51,23.68,100,"Air quality (urban)",2009
"Tampere Härmälä",101124,1222,2763,61.47,23.75,84,"Weather",1997
"Tampere Kaleva",103097,NA,NA,61.5,23.8,20,"Air quality (urban)",2009
"Tampere Linja-autoasema",103098,NA,NA,61.49,23.77,80,"Air quality (urban)",2008
"Tampere Pirkankatu",103099,NA,NA,61.5,23.74,120,"Air quality (urban)",2003
"Tampere Siilinkari",101311,2219,2943,61.52,23.75,96,"Weather",1989
"Tampere Tampella",151049,2223,2744,61.5,23.76,91,"Weather",2012
"Teuva Kauppilankylä",101262,2008,NA,62.49,21.76,60,"Precipitation",1960
"Tohmajärvi Kemie",101459,2902,2832,62.24,30.35,90,"Weather",1926
"Toholampi Laitala",101689,4314,2737,63.82,24.16,83,"Weather",1988
"Toholampi Oravala",101679,4304,NA,63.77,24.28,85,"Precipitation",1926
"Tornio Torppi",101851,6312,2880,65.85,24.17,8,"Weather",2008
"Turku airport",101065,1101,2972,60.52,22.28,45,"Weather",1955
"Turku Artukainen",100949,118,2773,60.45,22.18,8,"Weather",2003
"Turku Kauppatori",100862,NA,NA,60.45,22.27,5,"Air quality (urban)",1981
"Turku Oriketo",100842,NA,NA,60.48,22.31,25,"Air quality (urban)",2008
"Turku Rajakari",100947,116,2747,60.38,22.1,3,"Weather",1991
"Turku Ruissalo Saaronniemi",134225,NA,NA,60.43,22.1,0,"Mareograph",1922
"Turku Ruissalo Saarontie",100845,NA,NA,60.43,22.1,6,"Air quality (urban)",1999
"Utajärvi Korkiakangas",101872,6513,2870,64.77,26.32,118,"Radar",1997
"Utajärvi Särkijärvi",101809,5604,NA,64.93,27.19,132,"Precipitation",1916
"Utsjoki Kevo",102035,9603,2805,69.76,27.01,107,"Air quality, Weather",1962
"Utsjoki Kevo Kevojärvi",126737,9618,2890,69.76,27.01,76,"Weather",2010
"Utsjoki Nuorgam",102036,9604,2825,70.08,27.9,22,"Weather",1929
"Uusikaupunki Itätulli",101049,1006,NA,60.8,21.42,5,"Precipitation",1908
"Uusikaupunki Vekara",106631,NA,NA,60.87,21.05,0,"Buoy",2017
"Vaala Pelso",101800,5502,2714,64.5,26.42,114,"Weather",1944
"Vaasa airport",101462,3001,2911,63.06,21.75,6,"Weather",1946
"Vaasa keskusta Vaasanpuistikko",103104,NA,NA,63.1,21.62,15,"Air quality (urban)",2001
"Vaasa Klemettilä",101485,3024,2957,63.1,21.64,7,"Weather",2010
"Vaasa Vaskiluoto",134223,NA,NA,63.08,21.57,0,"Mareograph",1922
"Vaasa Vesitorni",103103,NA,NA,63.1,21.6,16,"Air quality (urban)",2006
"Valkeakoski Hiekkatekonurmi",103137,NA,NA,61.27,24.03,86,"Air quality (urban)",1998
"Valkeakoski Valkeakosken terveyskeskus",103138,NA,NA,61.27,24.03,96,"Air quality (urban)",1980
"Valtimo centre",101743,4701,2798,63.67,28.83,115,"Weather",1969
"Vantaa Helsinki-Vantaa airport",100968,301,2974,60.33,24.96,51,"Weather",1952
"Vantaa Helsinki-Vantaa airport AWOS",137189,NA,NA,60.32,24.91,40,"Weather",1999
"Vantaa Itä-Hakkila",104056,NA,NA,60.29,25.11,20,"Air quality (urban)",2008
"Vantaa Kaivoksela",101001,335,2975,60.27,24.87,83,"Radar",1994
"Vantaa Lentoasema",104048,NA,NA,60.31,24.97,20,"Air quality (urban)",2006
"Vantaa Rekola",106423,NA,NA,60.33,25.08,20,"Air quality (urban)",2016
"Vantaa Rekola etelä",105417,NA,NA,60.33,25.33,40,"Air quality (urban)",2017
"Vantaa Tikkurila Neilikkatie",100763,NA,NA,60.29,25.04,21,"Air quality (urban)",1996
"Varkaus kaupungintalo",104188,NA,NA,62.31,27.89,78,"Air quality (urban)",1991
"Varkaus Kosulanniemi",101421,2625,2850,62.32,27.91,83,"Weather",2007
"Varkaus Kosulanniemi Rantalankatu",106417,NA,NA,62.32,27.91,85,"Air quality (urban)",2016
"Varkaus Pääterveysasema",103101,NA,NA,62.33,27.89,88,"Air quality (urban)",1991
"Varkaus Psaari 2",103100,NA,NA,62.31,27.89,80,"Air quality (urban)",2003
"Varkaus Taulumäki (toripaviljonki)",103102,NA,NA,62.32,27.87,86,"Air quality (urban)",2001
"Vesanto Sonkari",101555,3502,2710,62.92,26.42,120,"Weather",1908
"Vieremä Kaarakkala",101726,4602,2834,63.84,27.22,206,"Precipitation, Weather",1937
"Vihti Hiiskula",101135,1307,NA,60.52,24.52,100,"Precipitation",1924
"Vihti Maasoja",100976,309,2758,60.42,24.4,42,"Weather",1939
"Viitasaari Haapaniemi",101537,3401,2915,63.08,25.86,130,"Weather",1969
"Viitasaari Kärnä",101545,3409,NA,63.17,25.94,115,"Precipitation",1960
"Vimpeli Lakeaharju",101518,3217,2925,63.1,23.82,198,"Radar",2005
"Virolahti Koivuniemi",101231,1612,2831,60.53,27.67,5,"Precipitation, Weather",1976
"Virolahti Koivuniemi Ääpälä",100656,NA,NA,60.53,27.68,5,"Air quality",2013
"Virrat Äijänneva",101310,2218,2735,62.33,23.54,138,"Weather",1986
"Ylitornio Meltosjärvi",101908,7301,2812,66.53,24.65,93,"Weather",1937
"Ylivieska airfield",101690,4315,2755,64.05,24.72,76,"Weather",2000
"Ylivieska Vähäkangas",101691,4316,NA,64.07,24.67,75,"Precipitation",2000
